N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE;A
1;;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;2;5;4;Null;
2;;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;2;4;3;Null;
3;;I;MATEMÁTICA BÁSICA;0;3;2;5;4;Null;
4;;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;2;4;3;Null;
5;;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;Null;
6;;I;LÓGICA MATEMÁTICA;0;2;2;4;3;Null;
7;;I;TECNOLOGÍA DE PROCESAMIENTO DE INFORMACIÓN;0;2;2;4;3;Null;
8;;II;QUIMICA GENERAL;0;3;2;5;4;Null;
9;;II;CALCULO DIFERENCIAL;0;3;2;5;4;Null;
10;;II;FISICA I;0;3;2;5;4;Null;
11;;II;ESTRATEGIAS DE APRENDIZAJE;0;2;2;4;3;Null;
12;;II;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;Null;
13;;II;LABORATORIO DE FISICA I;0;0;2;2;1;Null;
14;;II;GEOMETRIA ANALITICA;0;3;2;5;4;Null;
15;;III;PRODUCCION DE TEXTOS ACADEMICOS;0;2;2;4;3;Null;
16;;III;ESTADISTICA;0;3;2;5;4;Null;
17;;III;FISICA II;0;3;2;5;4;Null;
18;;III;LABORATORIO DE FISICA II;0;0;2;2;1;Null;
19;;III;ALGEBRA I;0;4;2;6;5;Null;
20;;III;CALCULO INTEGRAL;0;4;2;6;5;Null;
21;;IV;DESARROLLO PERSONAL;0;2;2;4;3;Null;
22;;IV;ACTIVIDADES FISICAS Y DEPORTES PARA LA SALUD;0;2;2;4;3;Null;
23;;IV;TALLER DE ARTE Y CREATIVIDAD;0;2;2;4;3;Null;
24;;IV;IDENTIDAD Y DIVERSIDAD CULTURAL;0;2;2;4;3;Null;
25;;IV;GEOHISTORIA REGIONAL;0;2;2;4;3;Null;
26;;IV;EQUIDAD DE GENERO;0;2;2;4;3;Null;
27;;IV;FISICA III;0;3;2;5;4;Null;
28;;IV;LABORATORIO DE FÍSICA III;0;0;2;2;1;Null;
29;;IV;INGLES BASICO;0;1;2;3;2;Null;
30;;IV;ALGEBRA II;0;4;2;6;5;Null;
31;;IV;CALCULO VECTORIAL;0;4;2;6;5;Null;
32;;V;FISICA IV;0;3;2;5;4;Null;
33;;V;LABORATORIO DE FISICA IV;0;0;2;2;1;Null;
34;;V;FISICA ELECTRONICA;0;2;2;4;3;Null;
35;;V;INGLES TECNICO;0;2;2;4;3;Null;
36;;V;ALGEBRA LINEAL Y TENSORIAL;0;3;2;5;4;Null;
37;;V;ECUACIONES DIFERENCIALES ORDINARIAS;0;3;2;5;4;Null;
38;;V;LENGUAJE DE PROGRAMACION;0;3;2;5;4;Null;
39;;VI;ELECTROMAGNETISMO;0;3;2;5;4;Null;
40;;VI;MECANICA CLASICA;0;3;2;5;4;Null;
41;;VI;TERMODINAMICA;0;3;2;5;4;Null;
42;;VI;FISICA MODERNA;0;3;2;5;4;Null;
43;;VI;ECUACIONES DIFERENCIALES PARCIALES;0;3;2;5;4;Null;
44;;VI;VARIABLE COMPLEJA;0;3;2;5;4;Null;
45;;VII;FISICA DE LA ATMOSFERA;0;2;2;4;3;Null;
46;;VII;FISICA COMPUTACIONAL I;0;3;2;5;4;Null;
47;;VII;MECANICA CUANTICA I;0;3;2;5;4;Null;
48;;VII;METODOS MATEMATICOS DE LA FISICA;0;3;2;5;4;Null;
49;;VII;TRANSFERENCIA DE CALOR;0;3;2;5;4;Null;
50;;VII;FISICA EXPERIMENTAL;0;2;4;6;4;Null;
51;;VIII;ENERGIAS RENOVABLES I;0;3;2;5;4;Null;
52;;VIII;MECANICA CUANTICA II;0;3;2;5;4;Null;
53;;VIII;FISICA ESTADISTICA;0;3;2;5;4;Null;
54;;VIII;FISICA DE LA TIERRA;0;3;2;5;4;Null;
55;;VIII;FISICA COMPUTACIONAL II;0;3;2;5;4;Null;
56;;VIII;METODOLOGIA DE LA INVESTIGACION;0;2;2;4;3;Null;
57;;IX;GESTION DE PROYECTOS;0;3;2;5;4;Null;
58;;IX;PROYECTO DE TESIS I;0;3;2;5;4;Null;
59;;IX;FISICA ATOMICA Y MOLECULAR;0;3;2;5;4;Null;
60;;IX;FISICA DE LAS RADIACIONES;0;3;2;5;4;Null;
61;;IX;FISICA DEL ESTADO SOLIDO;0;3;2;5;4;Null;
62;;IX;ENERGIAS RENOVABLES II;0;3;2;5;4;Null;
63;;IX;INTRODUCCION A LA OPTICA CUANTICA;0;3;2;5;4;Null;
64;;IX;BIOFISICA;0;3;2;5;4;Null;
65;;X;PRACTICAS PRE PROFESIONALES;0;2;4;6;4;Null;
66;;X;TRABAJO DE INVESTIGACIÓN;0;3;2;5;4;Null;
67;;X;FISICA NUCLEAR;0;3;2;5;4;Null;
68;;X;FISICA DE PARTICULAS;0;2;2;4;3;Null;
69;;X;MODELACION Y SIMULACION DE SISTEMAS AMBIENTALES;0;3;2;5;4;Null;
70;;X;METODOS EXPERIMENTALES EN FISICA DEL ESTADO SOLIDO;0;3;2;5;4;Null;
71;;X;FISICA MEDICA;0;3;2;5;4;Null;
72;;X;RELATIVIDAD;0;3;2;5;4;Null;
73;;X;ANALISIS DE DATOS Y SIMULACION DE PROCESOS EN FISICA MODERNA;0;3;2;5;4;Null;
74;;X;METEOROLOGIA Y CLIMATOLOGIA;0;3;2;5;4;Null;
