N;CODIGO;CICLO;CURSO;ESP;HT;HP;HP*2;TH;CRD;REQUE
1;;I;COMPRENSIOÓN Y ARGUMENTACIÓN;0;3;1;2;5;4;Null
2;;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;1;2;4;3;Null
3;;I;MATEMATICA BÁSICA;0;3;1;2;5;4;Null
4;;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;1;2;4;3;Null
5;;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;1;2;4;3;Null
6;;I;BIOLOGÍA GENERAL;0;3;1;2;5;4;Null
7;;I;SEGURIDAD Y DEFENSA NACIONAL;0;2;1;2;4;3;Null
8;;II;QUÍMICA GENERAL;0;3;1;2;5;4;Null
9;;II;FÍSICA GENERAL;0;3;1;2;5;4;Null
10;;II;PRODUCCIÓN DE TEXTOS ACADÉMICOS;0;2;1;2;4;3;Null
11;;II;BOTÁNICA GENERAL;0;2;1;2;4;3;Null
12;;II;ZOOLOGÍA GENERAL;0;2;1;2;4;3;Null
13;;II;ECOLOGÍA HUMANA;0;2;1;2;4;3;Null
14;;II;MATEMÁTICA SUPERIOR;0;2;1;2;4;3;Null
15;;III;GENÉTICA;0;2;1;2;4;3;Null
16;;III;BOTÁNICA CRIPTOGÁMICA;0;3;1;2;5;4;Null
17;;III;BIOQUÍMICA;0;2;1;2;4;3;Null
18;;III;MICROBIOLOGÍA AMBIENTAL;0;2;1;2;4;3;Null
19;;III;ZOOLOGIA DE INVERTEBRADOS;0;3;1;2;5;4;Null
20;;III;QUÍMICA ORGÁNICA;0;2;1;2;4;3;Null
21;;III;INGLÉS;0;2;1;2;4;3;Null
22;;IV;ENTOMOLOGÍA;0;3;1;2;5;4;Null
23;;IV;BOTÁNICA FANEROGÁMICA;0;3;1;2;5;4;Null
24;;IV;ECOLOGÍA MOLECULAR;0;2;1;2;4;3;Null
25;;IV;ZOOLOGÍA DE CORDADOS;0;3;1;2;5;4;Null
26;;IV;BIOESTADÍSTICA;0;3;1;2;5;4;Null
27;;IV;ECOFÍSIOLOGIA;0;3;1;2;5;4;Null
28;;V;DISEÑOS EXPERIMENTALES;0;3;1;2;5;4;Null
29;;V;LIMNOLOGIA FÍSICOQUÍMICA;0;3;1;2;5;4;Null
30;;V;EDUCACIÓN AMBIENTAL Y EXTENSÍON;0;3;1;2;5;4;Null
31;;V;METEOROLOGÍA Y CLIMATOLOGÍA;0;3;1;2;5;4;Null
32;;V;ETOLOGÍA;0;3;1;2;5;4;Null
33;;V;ECOLOGÍA DE SUELOS / BIOINFORMÁTICA;0;2;1;2;4;3;Null
34;;VI;METODOLOGÍA DE LA INVESTIGACIÓN CIENTÍFICA;0;3;1;2;5;4;Null
35;;VI;SISTEMA DE INFORMACIÓN GEOGRAFÍCA;0;3;1;2;5;4;Null
36;;VI;LIMNOLOGÍA BIOLÓGICA;0;3;1;2;5;4;Null
37;;VI;BIOGEOGRAFÍA;0;3;1;2;5;4;Null
38;;VI;ECOLOGÍA DE POBLACIONES Y COMUNIDADES;0;3;1;2;5;4;Null
39;;VI;EVOLUCIÓN / ECOTOXICOLOGÍA;0;2;1;2;4;3;Null
40;;VII;MANEJO INTEGRADO DE PLAGAS;0;3;1;2;5;4;Null
41;;VII;ADAPTACION Y MITIGACIÓN AL CAMBIO CLIMÁTICO;0;3;1;2;5;4;Null
42;;VII;MONITOREO DEL AGUA, AIRE Y SUELO;0;3;1;2;5;4;Null
43;;VII;GESTIÓN INTEGRAL DE RESIDUOS SÓLIDOS;0;3;1;2;5;4;Null
44;;VII;MANEJO DE BOSQUES;0;3;1;2;5;4;Null
45;;VII;BIOLOGÍA DE LA CONSERVACIÓN / POLÍTICAS AMBIENTALES;0;2;1;2;4;3;Null
46;;VIII;MANEJO DE VIDA SILVESTRE;0;3;1;2;5;4;Null
47;;VIII;BIOTECNOLOGÍA AMBIENTAL;0;3;1;2;5;4;Null
48;;VIII;GESTIÓN INTEGRAL DE AGUAS RESIDUALES;0;3;1;2;5;4;Null
49;;VIII;RESTAURACIÓN DE ECOSISTEMAS;0;3;1;2;5;4;Null
50;;VIII;BIODIVERSIDAD Y SERVICIOS ECOSISTEMICOS;0;3;1;2;5;4;Null
51;;VIII;ACUICULTURA SOSTENIBLE / SEGURIDAD, SALUD EN EL TRABAJO Y MEDIO AMBIENTE;0;2;1;2;4;3;Null
52;;IX;SEMINARIO DE TESIS;0;3;1;2;5;4;Null
53;;IX;MANEJO DE ÁREAS NATURALES PROTEGIDAS;0;3;1;2;5;4;Null
54;;IX;EVALUACIÓN DE IMPACTO AMBIENTAL;0;3;1;2;5;4;Null
55;;IX;SISTEMAS DE GESTIÓN AMBIENTAL;0;3;1;2;5;4;Null
56;;IX;GESTIÓN INTEGRAL DE LA CALIDAD DEL AIRE;0;3;1;2;5;4;Null
57;;IX;FORMULACIÓN Y EVALUACIÓN DE PROYECTOS AMBIENTALES / TELEDETECCIÓN AMBIENTAL;0;2;1;2;4;3;Null
58;;X;PRÁCTICAS PREPROFESIONALES;0;0;15;30;30;15;Null
