N;CODIGO;CICLO;CURSO;ESP;HT;HP;HP*2;TH;CRD;REQUE;A
1;;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;1;2;5;4;Null;
2;;I;PENSAMIENTO RACIONAL, ÉTICA Y CIUDADANÍA;0;2;1;2;4;3;Null;
3;;I;MATEMÁTICA BÁSICA;0;3;1;2;5;4;Null;
4;;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;1;2;4;3;Null;
5;;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;1;2;4;3;Null;
6;;I;LÓGICA MATEMÁTICA;0;2;1;2;4;3;Null;
7;;I;TECNOLOGÍA DE PROCESAMIENTO DE INFORMACIÓN;0;2;1;2;4;3;Null;
8;;II;SEGURIDAD Y DEFENSA NACIONAL;0;2;1;2;4;3;Null;
9;;II;CÁLCULO DIFERENCIAL;0;3;1;2;5;4;Null;
10;;II;QUÍMICA GENERAL;0;3;1;2;5;4;Null;
11;;II;ESTRATEGIAS DE APRENDIZAJE;0;2;1;2;4;3;Null;
12;;II;FÍSICA I;0;3;1;2;5;4;Null;
13;;II;LABORATORIO DE FÍSICA I;0;0;1;2;2;1;Null;
14;;II;GEOMETRÍA ANALÍTICA;0;3;1;2;5;4;Null;
15;;III;PRODUCCIÓN DE TEXTOS ACADÉMICOS;0;2;1;2;4;3;Null;
16;;III;ESTADÍSTICA;0;3;1;2;5;4;Null;
17;;III;ÁLGEBRA I;0;4;1;2;6;5;Null;
18;;III;CALCULO INTEGRAL;0;4;1;2;6;5;Null;
19;;III;FÍSICA II;0;3;1;2;5;4;Null;
20;;III;LABORATORIO DE FÍSICA II;0;0;1;2;2;1;Null;
21;;IV;DESARROLLO PERSONAL / ACTIVIDADES FISICAS Y DEPORTES PARA LA SALUD / TALLER DE ARTE Y CREATIVIDAD;0;2;1;2;4;3;Null;
22;;IV;IDENTIDAD Y DIVERSIDAD CULTURAL / GEOHISTORIA REGIONAL / EQUIDAD DE GENERO;0;2;1;2;4;3;Null;
23;;IV;ÁLGEBRA II;0;4;1;2;6;5;Null;
24;;IV;CALCULO VECTORIAL;0;4;1;2;6;5;Null;
25;;IV;FÍSICA III;0;3;1;2;5;4;Null;
26;;IV;LABORATORIO DE FÍSICA III;0;0;1;2;2;1;Null;
27;;IV;INGLÉS BÁSICO;0;1;1;2;3;2;Null;
28;;V;ANÁLISIS VECTORIAL;0;3;1;2;5;4;Null;
29;;V;ÁLGEBRA LINEAL I;0;4;1;2;6;5;Null;
30;;V;CÁLCULO DE PROBABILIDADES;0;2;1;2;4;3;Null;
31;;V;LENGUAJE DE PROGRAMACIÓN;0;4;1;2;6;5;Null;
32;;V;ECUACIONES DIFERENCIALES ORDINARIAS I;0;3;1;2;5;4;Null;
33;;V;INGLÉS TÉCNICO;0;2;1;2;4;3;Null;
34;;VI;ECUACIONES DIFERENCIALES PARCIALES;0;3;1;2;5;4;Null;
35;;VI;ANÁLISIS COMPLEJO I;0;3;1;2;5;4;Null;
36;;VI;ANÁLISIS REAL I;0;3;1;2;5;4;Null;
37;;VI;ESTADÍSTICA INFERENCIAL;0;3;1;2;5;4;Null;
38;;VI;ALGEBRA LINEAL II;0;3;1;2;5;4;Null;
39;;VI;OPTIMIZACIÓN LINEAL;0;2;1;2;4;3;Null;
40;;VII;ANÁLISIS COMPLEJO II;0;3;1;2;5;4;Null;
41;;VII;MÉTODOS NUMÉRICOS I;0;3;1;2;5;4;Null;
42;;VII;TOPOLOGÍA I;0;3;1;2;5;4;Null;
43;;VII;ECUACIONES DIFERENCIALES ORDINARIAS II;0;3;1;2;5;4;Null;
44;;VII;OPTIMIZACIÓN NO LINEAL;0;3;1;2;5;4;Null;
45;;VII;ANÁLISIS REAL II;0;3;1;2;5;4;Null;
46;;VIII;METODOLOGÍA DE LA INVESTIGACIÓN;0;2;1;2;4;3;Null;
47;;VIII;GEOMETRÍA DIFERENCIAL I;0;4;1;2;6;5;Null;
48;;VIII;TOPOLOGÍA II;0;4;1;2;6;5;Null;
49;;VIII;MÉTODOS NUMÉRICOS II;0;4;1;2;6;5;Null;
50;;VIII;TEORÍA DE LA MEDIDA E INTEGRACIÓN;0;4;1;2;6;5;Null;
51;;IX;SEMINARIO DE TESIS I;0;4;1;2;6;5;Null;
52;;IX;ANÁLISIS FUNCIONAL;0;4;1;2;6;5;Null;
53;;IX;GESTIÓN DE PROYECTOS;0;2;1;2;4;3;Null;
54;;IX;GEOMETRÍA DIFERENCIAL II;0;2;1;2;4;3;Null;
55;;IX;DIDÁCTICA DE LA MATEMÁTICA I;0;2;1;2;4;3;Null;
56;;IX;VARIEDADES DIFERENCIALES / ÁLGEBRA LINEAL APLICADA / TÓPICOS DE ECUACIONES DIFERENCIALES PARCIALES;0;2;1;2;4;3;Null;
57;;X;PRÁCTICAS PRE PROFESIONALES;0;0;7;14;14;7;Null;
58;;X;SEMINARIO DE TESIS II;0;3;1;2;5;4;Null;
59;;X;DIDÁCTICA DE LA MATEMÁTICA II;0;2;1;2;4;3;Null;
60;;X;TÓPICOS DE ÁLGEBRA / INTRODUCCIÓN A LOS ELEMENTOS FINITOS / TÓPICOS DE ANÁLISIS FUNCIONAL;0;2;1;2;4;3;Null;
